,conf,level,response,rt,trial
0,Congruent,1,correct,900,1
1,Congruent,1,correct,500,2
2,Congruent,1,incorrect,600,3
3,Congruent,1,correct,700,4
4,Congruent,2,correct,700,5
5,Congruent,2,correct,1200,6
6,Congruent,2,correct,1300,7
7,Incongruent,3,incorrect,500,8
8,Congruent,2,correct,500,9
9,Congruent,2,correct,1000,10
10,Congruent,2,correct,1000,11
11,Incongruent,3,correct,1200,12
12,Congruent,3,correct,600,13
13,Congruent,3,correct,1000,14
14,Congruent,4,correct,1000,15
15,Congruent,4,correct,1500,16
16,Congruent,4,correct,1500,17
17,Incongruent,5,correct,1700,18
18,Incongruent,5,correct,1700,19
